Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
92,SET NUMBER OF ITERATIONS,Session-000005,2025-12-09 10:01:36.000,2025-12-09 10:01:37.000,Variant 6,6,sid-7D343CDC-849C-4479-9343-9EF1E02C5042,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK VALIDATION RESULTS,Session-000007,2025-12-09 10:01:37.000,2025-12-09 10:01:38.000,Variant 6,6,sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,SET NUMBER OF ITERATIONS,Session-000009,2025-12-09 10:01:38.000,2025-12-09 10:01:39.000,Variant 6,6,sid-7D343CDC-849C-4479-9343-9EF1E02C5042,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK VALIDATION RESULTS,Session-000002,2025-12-09 10:01:39.000,2025-12-09 10:01:40.000,Variant 6,6,sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK TEST RESULTS,Session-000004,2025-12-09 10:01:40.000,2025-12-09 10:01:41.000,Variant 6,6,sid-3F3477CA-2154-443D-990D-BA61AA0EEDD2,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE INGESTION SYSTEM,Session-000006,2025-12-09 10:01:41.000,2025-12-09 10:01:42.000,Variant 6,6,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE PREPARATION SYSTEM,Session-000008,2025-12-09 10:01:42.000,2025-12-09 10:01:43.000,Variant 6,6,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE SEGREGATION SYSTEM,Session-000009,2025-12-09 10:01:43.000,2025-12-09 10:01:44.000,Variant 6,6,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE DEVELOPMENT SYSTEM,Session-000010,2025-12-09 10:01:44.000,2025-12-09 10:01:45.000,Variant 6,6,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE CLASSIFICATION SYSTEM,Session-000001,2025-12-09 10:01:45.000,2025-12-09 10:01:46.000,Variant 6,6,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE EVALUATION SYSTEM,Session-000002,2025-12-09 10:01:46.000,2025-12-09 10:01:47.000,Variant 6,6,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE CLIENT-SIDE SYSTEMS,Session-000003,2025-12-09 10:01:47.000,2025-12-09 10:01:48.000,Variant 6,6,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,END,,2025-12-09 10:01:48.000,2025-12-09 10:01:48.000,Variant 6,6,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
0,START,,2025-12-09 10:00:00.000,2025-12-09 10:00:00.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
0,END,,2025-12-09 10:00:00.000,2025-12-09 10:00:00.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
50,START,,2025-12-09 10:00:50.000,2025-12-09 10:00:50.000,Variant 3,3,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
50,CHECK DATA BALANCING,Session-000008,2025-12-09 10:00:50.000,2025-12-09 10:00:51.000,Variant 3,3,sid-B48DF955-D774-4256-AEB6-099744469155,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CHECK COVERAGE,Session-000002,2025-12-09 10:00:51.000,2025-12-09 10:00:52.000,Variant 3,3,sid-84855BE7-4A74-4AA7-A950-22E81A38081C,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CONFIGURE INGESTION SYSTEM,Session-000006,2025-12-09 10:00:52.000,2025-12-09 10:00:53.000,Variant 3,3,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CONFIGURE PREPARATION SYSTEM,Session-000010,2025-12-09 10:00:53.000,2025-12-09 10:00:54.000,Variant 3,3,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CONFIGURE SEGREGATION SYSTEM,Session-000005,2025-12-09 10:00:54.000,2025-12-09 10:00:55.000,Variant 3,3,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CONFIGURE DEVELOPMENT SYSTEM,Session-000010,2025-12-09 10:00:55.000,2025-12-09 10:00:56.000,Variant 3,3,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CONFIGURE CLASSIFICATION SYSTEM,Session-000005,2025-12-09 10:00:56.000,2025-12-09 10:00:57.000,Variant 3,3,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CONFIGURE EVALUATION SYSTEM,Session-000010,2025-12-09 10:00:57.000,2025-12-09 10:00:58.000,Variant 3,3,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,CONFIGURE CLIENT-SIDE SYSTEMS,Session-000005,2025-12-09 10:00:58.000,2025-12-09 10:00:59.000,Variant 3,3,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
50,END,,2025-12-09 10:00:59.000,2025-12-09 10:00:59.000,Variant 3,3,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
70,START,,2025-12-09 10:01:10.000,2025-12-09 10:01:10.000,Variant 2,2,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
70,CHECK DATA BALANCING,Session-000006,2025-12-09 10:01:10.000,2025-12-09 10:01:11.000,Variant 2,2,sid-B48DF955-D774-4256-AEB6-099744469155,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
70,CONFIGURE INGESTION SYSTEM,Session-000010,2025-12-09 10:01:11.000,2025-12-09 10:01:12.000,Variant 2,2,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
